#separator:tab
#html:false
#columns:Frage	Antwort	Kapitel	ID
Was ist Diglossie?	Sonderform der Zweisprachigkeit: zwei Varietäten einer Sprache werden in einer Sprachgemeinschaft funktional komplementär verwendet, mit Prestigegefälle.	01 Grundbegriffe	K1.1
Welche Eigenschaften hat die low variety?	Informelle Umgangssprache (Nähesprache), kein Prestige, nicht kodifiziert — aber die eigentliche Muttersprache der Sprecher.	01 Grundbegriffe	K1.2
Definiere Substrat.	Im Zuge einer Eroberung untergegangene autochthone Sprache — im Verhältnis zur Sprache der Eroberer.	01 Grundbegriffe	K1.3
Zwei Substratsprachen der iberischen Halbinsel?	Iberisch und Keltisch. (Auch: Lusitanisch, Turdetanisch, Phönizisch.)	01 Grundbegriffe	K1.4
Warum ist Baskisch Adstrat und nicht Substrat?	Weil es nach der römischen Eroberung erhalten blieb. Substrat setzt Untergang voraus; Baskisch wirkte als benachbarte, fortbestehende Sprache.	01 Grundbegriffe	K1.5
Definiere Superstrat und nenne ein Beispiel.	Sprache der Eroberer, nach Zweisprachigkeit zugunsten der lokalen Sprache aufgegeben, hinterlässt aber Spuren. Beispiel: Westgotisch.	01 Grundbegriffe	K1.6
Was änderte sich beim Übergang synthetisch → analytisch?	Grammatische Relationen werden nicht mehr durch Flexionsendungen, sondern durch Funktionswörter (Präpositionen, Auxiliare) und Wortstellung markiert.	01 Grundbegriffe	K1.7
In welche Richtung geht die Determination im Vulgärlatein?	Postdetermination → Prädetermination: von der Endung hinter dem Lexem zum Funktionswort vor dem Lexem. (HO8 dreht dies fehlerhaft um.)	01 Grundbegriffe	K1.8
Was ist Grammatikalisierung?	Ein lexikalischer Ausdruck wird zu einer grammatischen Konstruktion; dabei entsteht eine neue Verbalform. Beispiel: habere ‚besitzen' → he cantado.	01 Grundbegriffe	K1.9
Interne vs. externe Sprachgeschichte?	Intern = Wandel der Sprache selbst (Laut, Form, Syntax, Lexik). Extern = Wandel der äußeren Einflüsse (Raum, Sprachkontakt, Politik).	01 Grundbegriffe	K1.10
Primär- vs. Sekundärdialekt, mit je einem Beispiel?	Primärdialekt: direkt aus dem Vulgärlatein (Kastilisch). Sekundärdialekt: aus einem Primärdialekt (Andalusisch < Kastilisch).	01 Grundbegriffe	K1.11
Nenne die sechs Primärdialekte der iberischen Halbinsel.	Mozarabisch, Galicisch-Portugiesisch, Asturleonesisch, Kastilisch, Navarro-Aragonesisch, Katalanisch.	01 Grundbegriffe	K1.12
Auf welche Form des Lateins geht das Spanische zurück?	Auf das gesprochene Latein (Vulgärlatein), nicht auf das geschriebene klassische Latein.	02 Vulgaerlatein-Romanisierung	K2.1
Wer etablierte den Terminus „Vulgärlatein"?	Hugo Schuchardt, Romanist und Professor in Graz.	02 Vulgaerlatein-Romanisierung	K2.2
Warum kennen wir das Vulgärlatein nur indirekt?	Weil es als low variety auf den mündlichen Sprachgebrauch beschränkt war; geschrieben wurde klassisches Latein.	02 Vulgaerlatein-Romanisierung	K2.3
Was ist die Appendix Probi?	Formenliste aus 227 Elementen, Anhang zu einem Traktat des Grammatikers Probus; stellt Formen nach dem Muster „A non B" gegenüber.	02 Vulgaerlatein-Romanisierung	K2.4
Was ist der Quantitätenkollaps?	Übergang von distinktiver Vokallänge zu distinktivem Öffnungsgrad. Die folgenreichste Entwicklung des Vulgärlateins.	02 Vulgaerlatein-Romanisierung	K2.5
Welche Vokale diphthongieren unter dem Hauptton, und zu was?	Offenes ę > [je] und offenes ǫ > [we]. Beispiele: tĕne > tiene, pŏrta > puerta.	02 Vulgaerlatein-Romanisierung	K2.6
Was ist die Vokalepenthese? Ein modernes Beispiel?	Einschub von e/i vor s + Konsonant im Anlaut. spatha > espada; heute noch: engl. snob > esnob.	02 Vulgaerlatein-Romanisierung	K2.7
Welche zwei Erklärungen konkurrieren bei f- > h-?	Substrathypothese ([f] im Baskischen unbekannt, Ersatz durch h-, p-, b-, Ø) und autonome interne Entwicklung des Lateinischen.	02 Vulgaerlatein-Romanisierung	K2.8
Wann beginnt und endet die römische Eroberung der Halbinsel?	Beginn 218 v. Chr. (2. Punischer Krieg), vollständige Eroberung 19 v. Chr. (kantabrische Feldzüge des Augustus).	02 Vulgaerlatein-Romanisierung	K2.9
Warum ist das hispanische Latein konservativ?	Wegen des frühen Romanisierungsbeginns und der peripheren Lage: Neuerungen des Zentrums erreichten es nicht mehr.	02 Vulgaerlatein-Romanisierung	K2.10
Was zeigt das Muster fervere (span./ptg./rum.) vs. bullire (frz./it.)?	Peripherie bewahrt das alte Wort, Zentrum bildet das neue. Belegt den konservativen Charakter der Randgebiete.	02 Vulgaerlatein-Romanisierung	K2.11
Wie viele Arabismen gibt es, wie viele sind hochfrequent erhalten?	Ca. 850 Arabismen im spanischen Wortschatz; nur ca. 36 hochfrequente Einheiten haben sich bis heute gehalten.	02 Vulgaerlatein-Romanisierung	K2.12
Warum beginnen viele Arabismen mit al-?	Der arabische Artikel al wurde agglutiniert, also als Bestandteil des Wortes interpretiert: almacén, alcalde.	02 Vulgaerlatein-Romanisierung	K2.13
